nivel,grupo,n_clases,feature_set,n_features,clasificador,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,SVM_RBF,0.857511199601792,0.028888603364674352,0.764256629834347,0.0421249416973921
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,MLP,0.854245893479343,0.02645965445712751,0.7635875770793447,0.03828312082115703
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_MLP_SVMRBF,0.8575178364028538,0.031595600647883366,0.7623420006152386,0.04536111210179641
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_SVMLin_LogReg,0.8599601791936287,0.029057333937507653,0.7623122759834964,0.03687334899927112
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,LogReg,0.8583275261324042,0.0282409525000891,0.762115732121188,0.0339522787233423
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,SVM_Lineal,0.8575145180023229,0.029110927726324908,0.7594816342284119,0.037877071863774855
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,RF,0.8436635141861621,0.029972076863281384,0.7529616562420702,0.03707831318572884
super_clase,Letters/Numbers/Controls,3,TODAS,686,SVM_Lineal,0.8542558486809358,0.03327910051100841,0.7500244406087665,0.0501017238010361
super_clase,Letters/Numbers/Controls,3,TODAS,686,Ensamble_SVMLin_LogReg,0.8542525302804048,0.03207672857070014,0.7497068268465331,0.04887501239470019
super_clase,Letters/Numbers/Controls,3,TODAS,686,LogReg,0.8542525302804048,0.03207672857070014,0.7497068268465331,0.04887501239470019
super_clase,Letters/Numbers/Controls,3,TODAS,686,MLP,0.8420308611249379,0.03769269395300294,0.7457487699505426,0.04889104702616301
super_clase,Letters/Numbers/Controls,3,TODAS,686,Ensamble_MLP_SVMRBF,0.851806869089099,0.030087190443142425,0.7438730913011486,0.04303588252297992
super_clase,Letters/Numbers/Controls,3,TODAS,686,SVM_RBF,0.8509872241579558,0.02876294559385209,0.742776701069989,0.039776891087696616
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,XGBC,0.833890824622532,0.028477808062048006,0.7417761070649836,0.03156408752668601
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,LogReg,0.8493645262983243,0.026257753783564843,0.7414184184185006,0.03235992635215142
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,MLP,0.8501808528289365,0.02592299492463002,0.7406828231412624,0.016051833833760184
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,Ensamble_SVMLin_LogReg,0.851806869089099,0.021959289793429402,0.7385981467654427,0.016994026721777737
super_clase,Letters/Numbers/Controls,3,TODAS,686,RF,0.8347038327526132,0.03866725633740525,0.7384144295942374,0.05011285728082467
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,LogReg,0.8509905425584868,0.021821185738165404,0.737872733428197,0.017433642196403806
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,MLP,0.8444698855151817,0.025331949801333346,0.7366598749713226,0.032040196798644026
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,SVM_Lineal,0.8493678446988552,0.024415580613643868,0.7333307185602636,0.02397789324820629
