nivel,grupo,n_clases,feature_set,n_features,clasificador,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
super_clase,Letters/Numbers/Controls,3,Wavelets,252,MLP,0.9218118466898954,0.01113129548864284,0.861878715479176,0.020165119342784955
super_clase,Letters/Numbers/Controls,3,Wavelets,252,SVM_RBF,0.9226215364194459,0.01191952010183543,0.8585436884166908,0.023869240847333606
super_clase,Letters/Numbers/Controls,3,Wavelets,252,SVM_Lineal,0.9226314916210386,0.008979962175350777,0.8557154385486905,0.023401867992177385
super_clase,Letters/Numbers/Controls,3,Wavelets,252,Ensamble_MLP_SVMRBF,0.9201858304297328,0.00846957363907485,0.854572268425225,0.01441564069359404
super_clase,Letters/Numbers/Controls,3,Wavelets,252,LogReg,0.9193728222996516,0.007983575143228908,0.8473564327093378,0.017706802727225798
super_clase,Letters/Numbers/Controls,3,Wavelets,252,Ensamble_SVMLin_LogReg,0.9185598141695703,0.00821442285920126,0.8449031337302738,0.019078424143928355
super_clase,Letters/Numbers/Controls,3,TODAS,686,MLP,0.9161307449809193,0.011906365613250406,0.8444061756283052,0.030145913652158664
super_clase,Letters/Numbers/Controls,3,TODAS,686,Ensamble_MLP_SVMRBF,0.9177567612410819,0.011297822958292056,0.837455959379912,0.031189010074024043
super_clase,Letters/Numbers/Controls,3,Wavelets,252,RF,0.9095735855317738,0.02267155916896392,0.8334664719593654,0.04386821089919336
super_clase,Letters/Numbers/Controls,3,TODAS,686,SVM_RBF,0.9153144184503068,0.011596986160459411,0.8320525365337115,0.029306333586978546
super_clase,Letters/Numbers/Controls,3,TODAS,686,RF,0.9120557491289197,0.010467040118859764,0.8287691755419802,0.025842469846617096
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,MLP,0.9104230960676954,0.01093139462235015,0.8287150592840211,0.025260198035860146
super_clase,Letters/Numbers/Controls,3,TODAS,686,SVM_Lineal,0.9161241081798573,0.012232622717344113,0.8269926492189977,0.030118448288809108
super_clase,Letters/Numbers/Controls,3,TODAS,686,XGBC,0.9088037166085947,0.009424594015730078,0.8255087831892919,0.023710589864163484
super_clase,Letters/Numbers/Controls,3,TODAS,686,LogReg,0.9161241081798573,0.01377027228560743,0.8237251122810669,0.035495018091659176
super_clase,Letters/Numbers/Controls,3,TODAS,686,Ensamble_SVMLin_LogReg,0.9153111000497759,0.013714124386141046,0.8229488369968229,0.03551211008456508
super_clase,Letters/Numbers/Controls,3,Wavelets,252,XGBC,0.9006238592998175,0.018311217376317347,0.8188974945781762,0.030832701135463342
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_MLP_SVMRBF,0.9087970798075329,0.01469361900127888,0.8114095417166437,0.03595585659945042
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,MLP,0.897395055583209,0.020173405379202005,0.8101010147150749,0.04143830044787435
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,RF,0.8998506719761075,0.01316505726578767,0.8100172502026137,0.032060978223761465
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,SVM_RBF,0.9030927492948398,0.010436206650141484,0.8065530501253285,0.028393107222776968
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,LogReg,0.9055417288866767,0.012951271325299862,0.8036779846983577,0.03675503484593631
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,XGBC,0.8933200597312096,0.014896501422042597,0.803304489627824,0.034513818850745524
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_SVMLin_LogReg,0.903909075825452,0.014713421234196264,0.7970285110646708,0.03916413290091533
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,SVM_Lineal,0.9006537249045958,0.015151620596970223,0.7968064902926694,0.03584280838334785
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,Ensamble_MLP_SVMRBF,0.897385100381616,0.01403197583155568,0.792247471779362,0.02549040157640258
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,RF,0.8876223660195783,0.017551095384154274,0.7891141909775479,0.039027856929739216
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,LogReg,0.8990111166417787,0.016627139169081418,0.7885460824560189,0.03622234986275647
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,SVM_RBF,0.8965754106520658,0.012006047413275042,0.7885011618280485,0.020420781450298485
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,SVM_Lineal,0.8965720922515347,0.015187397343670516,0.7871882972737313,0.029066005276475102
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,XGBC,0.8794823295171728,0.015318049565200222,0.7862850914691218,0.026143156260266937
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,Ensamble_SVMLin_LogReg,0.8973817819810851,0.016235273834598322,0.7851377206761445,0.03300683328941613
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,RF,0.8412078977932635,0.008072854876637366,0.7138582764216602,0.010611524156304869
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,MLP,0.8558586361373818,0.02311317924936896,0.7084459448494277,0.041518721119158046
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,RF,0.8355433880869422,0.023297458096987668,0.6973429113924827,0.05500559667325904
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,LogReg,0.8526032852165256,0.014203489263633882,0.6947593452730707,0.04005176007099077
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,XGBC,0.8330744980919196,0.014636672923579373,0.6929872663396883,0.019378431701937347
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,MLP,0.8444897959183674,0.014831229500480924,0.68732157760472,0.07895513127884293
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,XGBC,0.8159980089596814,0.019166945880636194,0.6853922792544535,0.0496134732477486
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,Ensamble_SVMLin_LogReg,0.8542293014766884,0.017368771490499254,0.6850727902730022,0.04981856834039691
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,Ensamble_MLP_SVMRBF,0.8566716442674631,0.019520333100208256,0.6836530764434838,0.05777340609400694
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,SVM_RBF,0.853416293346607,0.015673215671948258,0.6676891954203538,0.040721694505663604
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,SVM_Lineal,0.8558519993363198,0.013142011571181366,0.6632990783832124,0.034365178511168035
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,Ensamble_MLP_SVMRBF,0.8477385100381616,0.014290307277442226,0.6612911454485929,0.07003626631036033
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,LogReg,0.8436668325866933,0.011437320794436833,0.6536273496898434,0.05371050991147508
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,Ensamble_SVMLin_LogReg,0.8461058569769371,0.008818223440439693,0.6499090255043865,0.0586623633631784
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,SVM_RBF,0.8436601957856313,0.010937397810061993,0.6492517289064336,0.06272919635481891
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,SVM_Lineal,0.8428339140534262,0.00985169687090836,0.6387310263229278,0.04698264037771001
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,RF,0.8281765389082463,0.013720325787376307,0.6146585896535413,0.017936984921956958
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,XGBC,0.8078115148498423,0.008427361537194276,0.606701869339932,0.017936216511418593
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,MLP,0.8436336485813838,0.011896308081665103,0.5933203348319551,0.003066564050590366
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,Ensamble_MLP_SVMRBF,0.8411946241911398,0.012492979882760349,0.590827924676534,0.006149845329916527
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,SVM_RBF,0.8363066202090593,0.012341387211017038,0.5899892544011855,0.01610466450638469
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,SVM_Lineal,0.8346806039488965,0.012898740249423278,0.5789358495924819,0.012153722925388213
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,Ensamble_SVMLin_LogReg,0.8322349427575908,0.013634303502499213,0.5775699044962701,0.01316960198573156
super_clase,Letters/Numbers/Controls,3,Estadisticas,84,LogReg,0.8297859631657541,0.014645825310449254,0.5769334195123276,0.013322705591232087
por_grupo,Controls,3,Frecuencias_Abs,70,SVM_RBF,0.55,0.135400640077266,0.5436257498950997,0.13726308262291773
por_grupo,Controls,3,Frecuencias_Abs,70,XGBC,0.55,0.1632993161855452,0.5424208144796381,0.17479185076165138
por_grupo,Controls,3,Frecuencias_Todas,350,SVM_Lineal,0.5333333333333333,0.10671873729054748,0.5325225582810721,0.10486176711598932
por_grupo,Controls,3,Frecuencias_Todas,350,Ensamble_SVMLin_LogReg,0.525,0.11960583412006105,0.5209971950993623,0.1219779919764621
por_grupo,Controls,3,Frecuencias_Todas,350,RF,0.525,0.11055415967851333,0.5168817938167783,0.11395176749960453
por_grupo,Controls,3,Frecuencias_Todas,350,Ensamble_MLP_SVMRBF,0.525,0.12527746981977425,0.5156814799694057,0.13460599054988046
por_grupo,Controls,3,Frecuencias_Abs,70,RF,0.5166666666666666,0.15942605391424156,0.5026189720152568,0.16959632506940028
por_grupo,Controls,3,Frecuencias_Todas,350,XGBC,0.5083333333333333,0.135400640077266,0.501758846588568,0.13128127819099297
