nivel,grupo,n_clases,feature_set,n_features,clasificador,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
super_clase,Letters/Numbers/Controls,3,Wavelets,168,MLP,0.9226248548199768,0.01369030500975734,0.8595744487314991,0.024595756033471677
super_clase,Letters/Numbers/Controls,3,Wavelets,168,Ensamble_MLP_SVMRBF,0.9218085282893647,0.009554260066662212,0.8546532233676858,0.018542066228393234
super_clase,Letters/Numbers/Controls,3,Wavelets,168,SVM_RBF,0.9218052098888336,0.01025412289444559,0.8535623534449439,0.01842451514918984
super_clase,Letters/Numbers/Controls,3,TODAS,602,MLP,0.9193794591007134,0.010103840303118979,0.8522231087517943,0.02107588022522367
super_clase,Letters/Numbers/Controls,3,Wavelets,168,RF,0.9209922017587523,0.01235129183414983,0.8508261981266759,0.0232730356072731
super_clase,Letters/Numbers/Controls,3,Wavelets,168,SVM_Lineal,0.9209988385598141,0.008492496903331205,0.8465256364735619,0.013574763575931622
super_clase,Letters/Numbers/Controls,3,Wavelets,168,Ensamble_SVMLin_LogReg,0.9218118466898956,0.008012556901096507,0.843825796890371,0.01080970233096746
super_clase,Letters/Numbers/Controls,3,Wavelets,168,LogReg,0.9201858304297328,0.005658681525142004,0.8409742800195286,0.007263353664313708
super_clase,Letters/Numbers/Controls,3,TODAS,602,RF,0.9153044632487142,0.016600726427356265,0.8395249963314588,0.03783905930153157
super_clase,Letters/Numbers/Controls,3,TODAS,602,Ensamble_MLP_SVMRBF,0.918566450970632,0.012339716778764994,0.8380599401653333,0.030709013259394676
super_clase,Letters/Numbers/Controls,3,TODAS,602,SVM_RBF,0.9169371163099387,0.014706492250192176,0.8369835148620552,0.032192610609359885
super_clase,Letters/Numbers/Controls,3,TODAS,602,SVM_Lineal,0.9193761407001825,0.016183058590466613,0.8354683284797997,0.03650892808534014
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,MLP,0.9104230960676954,0.01093139462235015,0.8287150592840211,0.025260198035860146
super_clase,Letters/Numbers/Controls,3,TODAS,602,LogReg,0.915307781649245,0.01467239191115565,0.8235719553721601,0.036370786758143946
super_clase,Letters/Numbers/Controls,3,TODAS,602,Ensamble_SVMLin_LogReg,0.915307781649245,0.01467239191115565,0.8235719553721601,0.036370786758143946
super_clase,Letters/Numbers/Controls,3,TODAS,602,XGBC,0.9038958022233283,0.016482667469346946,0.8185027771841813,0.033962962636752206
super_clase,Letters/Numbers/Controls,3,Wavelets,168,XGBC,0.9063348266135722,0.017174902493858578,0.8170389018341334,0.0415167414873082
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_MLP_SVMRBF,0.9087970798075329,0.01469361900127888,0.8114095417166437,0.03595585659945042
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,MLP,0.897395055583209,0.020173405379202005,0.8101010147150749,0.04143830044787435
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,RF,0.8998506719761075,0.01316505726578767,0.8100172502026137,0.032060978223761465
