nivel,grupo,n_clases,feature_set,n_features,clasificador,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,LogReg,0.8372559274755927,0.024420344167706012,0.6984638005368083,0.046367710120863624
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,MLP,0.828057880055788,0.019167912075415097,0.693268851985066,0.038902070736409694
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_SVMLin_LogReg,0.8339191073919107,0.02637710530075138,0.6886760980094544,0.05351831418598671
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,LogReg,0.8322105997210599,0.018264903647684683,0.6832430235556209,0.03040664412962467
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_MLP_SVMRBF,0.8314121338912134,0.024071890076989053,0.679182903915522,0.050776834734843956
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,SVM_Lineal,0.8297280334728034,0.022509673882213508,0.676571042995697,0.05803476686443593
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,Ensamble_SVMLin_LogReg,0.8297071129707113,0.01845601548612718,0.6723788166445538,0.030921284603867324
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,MLP,0.8272071129707113,0.015803388145205217,0.6684760529295398,0.03313038164212511
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,SVM_RBF,0.8280613668061367,0.020543560823259886,0.66348908140071,0.04899232459437554
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,LogReg,0.8096687587168759,0.01928383397383827,0.6598237444507757,0.029008793072704167
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,SVM_Lineal,0.8280404463040446,0.018986351699572784,0.6595910361194933,0.031154475273481596
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,Ensamble_SVMLin_LogReg,0.8088354253835425,0.0183085519038028,0.658248940616085,0.02755719580312684
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,SVM_RBF,0.8088423988842399,0.019519382786242486,0.6579806313173079,0.030960629254629654
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,RF,0.8096792189679218,0.020549693196406524,0.6561062398235765,0.045797893751120075
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,Ensamble_MLP_SVMRBF,0.8280543933054394,0.017325474074927093,0.6556806735177672,0.0381068151679795
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,SVM_Lineal,0.8063249651324964,0.0234214429299351,0.6546819065151203,0.026541886800602224
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,RF,0.8079916317991632,0.021951575017880056,0.6542347526701688,0.04657283019207222
super_clase,Letters/Numbers/Controls,3,Frecuencias_Rel,70,SVM_RBF,0.826384239888424,0.0183519022478998,0.6540566953547008,0.039131098183472636
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,MLP,0.8054986052998606,0.02534325872238018,0.6536104840368008,0.03171600218010688
super_clase,Letters/Numbers/Controls,3,Frecuencias_Est,210,Ensamble_MLP_SVMRBF,0.8063319386331939,0.018322411604569665,0.6519356690343443,0.02826552177271285
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,XGBC,0.7895955369595538,0.037149747467534515,0.6493740455036426,0.05000066096708903
