Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
109967,530974,-1010427,93558,-336566,2210504,-2950092,-2060017,-4670910,-5355314,-3271583,-6208807,-3311271,-3982943,-1817370,-4078554,-5260019
109968,534671,-1015864,95519,-334680,2209550,-3275170,-2058526,-4663445,-5352940,-3268829,-6202359,-3327173,-3981058,-1809995,-4074980,-5625852
109969,535689,-1016450,99117,-331589,2216838,-2833456,-2053996,-4665692,-5361176,-3269684,-6208426,-3330357,-3985004,-1815629,-4076718,-5382957
109970,532403,-1010787,97203,-333711,2218419,-2472656,-2055138,-4673367,-5363974,-3272541,-6215286,-3314147,-3987577,-1823678,-4080669,-4996163
109971,530759,-1008742,93469,-337047,2211209,-2839208,-2059929,-4672561,-5356357,-3272247,-6210494,-3307927,-3984262,-1819754,-4079818,-5168632
109972,533959,-1013804,94381,-336135,2208259,-3263431,-2059748,-4664947,-5352121,-3269517,-6202851,-3322596,-3981564,-1811410,-4076069,-5583153
109973,535773,-1015676,98289,-332732,2214948,-2919091,-2055042,-4665268,-5359410,-3269627,-6207009,-3329553,-3984821,-1814989,-4076811,-5440980
109974,532801,-1010481,97208,-334095,2218106,-2469970,-2055098,-4673242,-5363996,-3272546,-6215016,-3314832,-3988176,-1824021,-4080963,-5013188
109975,530344,-1007280,93053,-337893,2211560,-2729597,-2060041,-4674461,-5357541,-3273026,-6212214,-3305124,-3985791,-1822341,-4081167,-5083736
109976,532883,-1011583,92866,-337879,2206933,-3223358,-2061146,-4667124,-5351656,-3270441,-6203845,-3317553,-3982522,-1813507,-4077504,-5518979
109977,535239,-1014774,96610,-334646,2212378,-2998722,-2056839,-4665757,-5357514,-3269856,-6205881,-3327809,-3985034,-1814831,-4077276,-5486047
109978,532953,-1010076,96624,-335056,2217042,-2485034,-2055720,-4673425,-5363562,-3272629,-6214501,-3315247,-3988986,-1824267,-4081408,-5040638
109979,530121,-1005548,92576,-338908,2211697,-2623687,-2060332,-4676414,-5358263,-3273665,-6213579,-3302275,-3987426,-1824719,-4082477,-5004856
109980,531991,-1008722,91446,-339771,2205663,-3157939,-2062589,-4669718,-5350891,-3271245,-6204780,-3311561,-3983631,-1815867,-4078886,-5435442
109981,535257,-1012687,95151,-336431,2209986,-3074142,-2058508,-4666248,-5354707,-3269826,-6204331,-3324517,-3984966,-1814644,-4077493,-5519474
109982,533756,-1009056,96056,-335884,2215901,-2532855,-2056319,-4673219,-5361948,-3272320,-6213046,-3315384,-3989122,-1823881,-4081281,-5090303
109983,530646,-1003802,92179,-339626,2212110,-2548396,-2060352,-4677761,-5358441,-3273935,-6214181,-3300527,-3988449,-1826384,-4083172,-4956806
109984,531694,-1005919,90157,-341236,2205134,-3092822,-2063592,-4672096,-5350195,-3271790,-6205533,-3306607,-3984204,-1817822,-4079889,-5361000
109985,535233,-1010802,93453,-338222,2207853,-3149839,-2060194,-4667054,-5352247,-3269959,-6203072,-3322011,-3984594,-1814441,-4077778,-5553489
109986,534434,-1008413,95426,-336661,2214730,-2607002,-2056962,-4672767,-5360281,-3271971,-6211377,-3316759,-3988842,-1822916,-4080989,-5161353
109987,531031,-1002743,91991,-340080,2212604,-2491076,-2060235,-4678674,-5358751,-3274101,-6214594,-3300661,-3989267,-1827501,-4083764,-4930515
109988,531173,-1003476,89308,-342332,2205178,-3004320,-2064176,-4674325,-5350201,-3272442,-6206752,-3302810,-3985112,-1820014,-4081131,-5276591
109989,534873,-1008708,92030,-339852,2206138,-3194279,-2061680,-4667959,-5349946,-3269965,-6202087,-3318807,-3984371,-1814471,-4078149,-5559458
109990,534888,-1007789,94696,-337692,2213313,-2684966,-2057882,-4672337,-5358339,-3271541,-6209562,-3317560,-3988645,-1821879,-4080839,-5228405
109991,531477,-1002022,91806,-340666,2212898,-2450394,-2060301,-4679343,-5358975,-3274243,-6214752,-3301248,-3990221,-1828436,-4084416,-4918266
109992,530738,-1001562,88404,-343603,2205218,-2911364,-2064925,-4676652,-5350738,-3273314,-6208231,-3299763,-3986431,-1822568,-4082651,-5193781
109993,534459,-1006988,90253,-341857,2204288,-3227841,-2063502,-4669381,-5348485,-3270582,-6201862,-3315982,-3984672,-1815387,-4079176,-5555494
109994,535424,-1007539,93557,-338990,2211480,-2786337,-2059113,-4671897,-5356613,-3271425,-6207888,-3319056,-3988441,-1821026,-4080943,-5310186
109995,532190,-1002084,91459,-341246,2212874,-2445943,-2060386,-4679524,-5359237,-3274274,-6214537,-3303467,-3990746,-1828791,-4084808,-4939066
109996,530616,-1000459,87688,-344569,2205635,-2824899,-2065196,-4678577,-5351616,-3273941,-6209511,-3298372,-3987305,-1824584,-4083822,-5126693
109997,533831,-1005812,88601,-343599,2202885,-3240853,-2064959,-4670920,-5347576,-3271217,-6201923,-3313738,-3984706,-1816285,-4080146,-5538897
109998,535622,-1007787,92423,-340257,2209687,-2890927,-2060307,-4671369,-5354974,-3271382,-6206225,-3320898,-3987929,-1819970,-4080985,-5391217
109999,532831,-1002640,91421,-341537,2212903,-2454922,-2060292,-4679139,-5359334,-3274178,-6213950,-3306542,-3990974,-1828681,-4084979,-4972490
110000,530655,-999711,87507,-345124,2206469,-2729991,-2065067,-4679939,-5352697,-3274458,-6210749,-3297795,-3988308,-1826533,-4084974,-5058999
110001,533460,-1004267,87607,-344866,2202178,-3218566,-2065871,-4672314,-5346822,-3271593,-6202112,-3310836,-3984809,-1817411,-4081054,-5495336
110002,535981,-1007464,91567,-341387,2208072,-2985042,-2061311,-4670900,-5352869,-3270983,-6204293,-3321371,-3987213,-1818792,-4080848,-5455472
110003,533581,-1003147,91363,-341936,2212674,-2484515,-2060366,-4678619,-5359026,-3273863,-6212955,-3309507,-3991109,-1828189,-4085056,-5018691
110004,530599,-999471,87094,-345931,2207083,-2644811,-2065177,-4681536,-5353919,-3274936,-6211969,-3297972,-3989506,-1828361,-4086118,-5003698
110005,532829,-1003090,86387,-346334,2201548,-3179740,-2066953,-4674336,-5346727,-3272254,-6202982,-3308327,-3985409,-1818997,-4082242,-5441844
110006,536113,-1007361,90360,-342734,2206330,-3082398,-2062596,-4670809,-5351077,-3270884,-6202869,-3321887,-3986768,-1817889,-4080938,-5517461
110007,534494,-1004102,91321,-342146,2212338,-2547182,-2060361,-4677683,-5358485,-3273383,-6211611,-3313176,-3990847,-1826994,-4084724,-5090546
110008,531256,-999678,87454,-345826,2208393,-2584676,-2064429,-4681922,-5355151,-3275019,-6212647,-3299590,-3990102,-1829196,-4086599,-4976398
110009,532396,-1002611,85709,-347132,2201696,-3133994,-2067355,-4675812,-5347396,-3272846,-6204039,-3307117,-3985838,-1820418,-4083247,-5391817
110010,535913,-1008077,89203,-343917,2204833,-3175992,-2063698,-4670667,-5350015,-3270949,-6201826,-3323122,-3986187,-1817066,-4081119,-5575968
110011,535090,-1006193,91171,-342342,2211829,-2635512,-2060445,-4676364,-5358364,-3273035,-6210294,-3318252,-3990334,-1825526,-4084360,-5182657
110012,531933,-1001174,87987,-345469,2209838,-2544712,-2063490,-4681731,-5356871,-3275107,-6213258,-3303281,-3990447,-1829607,-4086852,-4972971
110013,532264,-1002895,85572,-347401,2202644,-3070042,-2067156,-4676876,-5348669,-3273317,-6205262,-3307009,-3986051,-1821659,-4083891,-5335995
110014,536018,-1008942,88492,-344632,2204033,-3248337,-2064380,-4670403,-5349176,-3270944,-6200944,-3324101,-3985307,-1816134,-4080901,-5615404
110015,535944,-1008514,91284,-342262,2211466,-2733337,-2060417,-4674732,-5358028,-3272626,-6208695,-3323295,-3989534,-1823563,-4083619,-5278792
110016,532403,-1003536,88423,-345144,2210968,-2514654,-2062819,-4681496,-5358761,-3275309,-6213766,-3307762,-3990891,-1829681,-4087036,-4980768
110017,531668,-1004048,85245,-347755,2203474,-2988086,-2067198,-4678416,-5350801,-3274304,-6207108,-3307596,-3986845,-1823283,-4085017,-5271601
110018,535328,-1010212,87417,-345609,2203036,-3290894,-2065422,-4670984,-5349266,-3271687,-6201072,-3324734,-3985099,-1816115,-4081533,-5628449
110019,536066,-1011230,90882,-342584,2210460,-2836967,-2060890,-4673521,-5357873,-3272652,-6207393,-3327901,-3988878,-1821870,-4083311,-5371711
110020,532626,-1006386,88718,-344826,2211659,-2505256,-2062278,-4681074,-5360770,-3275680,-6214166,-3312749,-3991299,-1829586,-4087326,-5005351
110021,531073,-1005509,85069,-347968,2204370,-2896554,-2067012,-4679832,-5353372,-3275303,-6209054,-3308533,-3987773,-1825026,-4086187,-5205759
110022,534376,-1011339,86339,-346644,2201996,-3297907,-2066447,-4672026,-5349821,-3272518,-6201607,-3324286,-3985166,-1816680,-4082375,-5611754
110023,535976,-1013567,90203,-343257,2208904,-2930655,-2061754,-4672699,-5357646,-3272872,-6206259,-3331081,-3988552,-1820644,-4083389,-5447727
110024,533035,-1008757,89113,-344591,2211881,-2500753,-2061912,-4680447,-5362179,-3275876,-6214125,-3316608,-3991734,-1829374,-4087565,-5030010
110025,530753,-1006417,85148,-348206,2205179,-2784964,-2066812,-4681173,-5355701,-3276212,-6210943,-3308201,-3989124,-1827070,-4087547,-5124956
110026,533448,-1011454,85248,-347942,2200929,-3262739,-2067653,-4673718,-5350362,-3273564,-6202724,-3321547,-3985984,-1818244,-4083838,-5556579
110027,535808,-1014767,89116,-344509,2206797,-3009382,-2063181,-4672621,-5356803,-3273217,-6205344,-3331461,-3988703,-1820080,-4083920,-5499041
110028,533379,-1010377,88909,-345069,2211214,-2506996,-2062310,-4680354,-5362909,-3276182,-6214043,-3318751,-3992641,-1829549,-4088246,-5055788
110029,530572,-1006614,84811,-348911,2205588,-2673202,-2067002,-4682962,-5357600,-3277162,-6212834,-3306730,-3990957,-1829507,-4089237,-5043954
110030,532661,-1010411,83998,-349453,2199916,-3198186,-2068958,-4676014,-5350622,-3274604,-6204074,-3316821,-3987180,-1820469,-4085593,-5476095
110031,535612,-1014566,87739,-346137,2204485,-3078250,-2064856,-4673058,-5355224,-3273526,-6204399,-3329428,-3988957,-1819973,-4084668,-5531127
110032,533834,-1010909,88519,-345802,2210139,-2536167,-2062917,-4680232,-5362448,-3276188,-6213292,-3319462,-3993272,-1829434,-4088694,-5092183
110033,530634,-1006133,84528,-349647,2205876,-2576398,-2067186,-4684505,-5358649,-3277743,-6214119,-3304890,-3992563,-1831581,-4090576,-4976720
110034,531838,-1008686,82737,-351083,2199081,-3118141,-2070201,-4678546,-5350627,-3275541,-6205447,-3311562,-3988487,-1822942,-4087265,-5385761
110035,535281,-1013621,86092,-348082,2202051,-3141387,-2066719,-4673901,-5353246,-3273851,-6203500,-3326402,-3989233,-1820130,-4085449,-5552332
110036,534323,-1011192,87766,-346889,2208597,-2594408,-2063859,-4680076,-5361379,-3276139,-6212122,-3320214,-3993732,-1829034,-4089019,-5147448
110037,530876,-1005959,84095,-350576,2205840,-2510311,-2067501,-4685887,-5359574,-3278361,-6215066,-3304424,-3994139,-1833364,-4091787,-4938752
110038,531197,-1007366,81466,-352768,2198313,-3036187,-2071479,-4681358,-5351244,-3276692,-6207104,-3307677,-3990046,-1825671,-4089030,-5302414
110039,534770,-1012992,84097,-350370,2199441,-3197044,-2069013,-4675482,-5351886,-3274591,-6203172,-3323936,-3989744,-1820795,-4086436,-5567019
110040,534549,-1011947,86518,-348420,2206443,-2676075,-2065425,-4680321,-5360524,-3276427,-6211095,-3321919,-3994167,-1828648,-4089413,-5219040
110041,530998,-1006573,83292,-351711,2205378,-2470310,-2068246,-4687246,-5360815,-3279159,-6216026,-3305741,-3995627,-1834848,-4092869,-4927431
110042,530414,-1006738,79954,-354584,2197598,-2947531,-2072857,-4684261,-5352615,-3278145,-6209280,-3305323,-3991810,-1828589,-4090929,-5222899
110043,533831,-1012637,81696,-352939,2196779,-3234750,-2071532,-4677542,-5351318,-3275857,-6203671,-3322002,-3990604,-1822084,-4087861,-5567629
110044,534173,-1013387,84444,-350677,2203502,-2772507,-2067755,-4681017,-5360094,-3277367,-6210605,-3324531,-3994966,-1828681,-4090261,-5298929
110045,530632,-1008323,81745,-353562,2203971,-2453411,-2069791,-4688982,-5362737,-3280717,-6217484,-3309106,-3997692,-1836752,-4094590,-4938405
110046,529136,-1007381,77761,-357136,2196224,-2854429,-2074910,-4687882,-5355202,-3280521,-6212356,-3305001,-3994459,-1832346,-4093637,-5147789
110047,532239,-1013319,78489,-356413,2193386,-3248257,-2074882,-4680744,-5351947,-3278145,-6205377,-3320900,-3992436,-1824587,-4090324,-5549659
110048,533609,-1015376,81764,-353636,2199794,-2871061,-2070813,-4682219,-5360008,-3278882,-6210525,-3327316,-3996264,-1829163,-4091812,-5374656
110049,530445,-1010578,79921,-355746,2201943,-2452227,-2071778,-4690609,-5364561,-3282327,-6218645,-3312899,-3999827,-1838319,-4096451,-4961805
110050,528206,-1008253,75548,-359763,2194788,-2747753,-2077149,-4691587,-5358117,-3283013,-6215599,-3305093,-3997629,-1836317,-4096796,-5067356
110051,530744,-1013476,75146,-360084,2190077,-3217962,-2078515,-4684724,-5353052,-3280718,-6207694,-3318798,-3994979,-1827992,-4093537,-5495452
110052,532896,-1016599,78536,-357196,2195483,-2951196,-2074532,-4684317,-5359734,-3280741,-6210771,-3328449,-3998130,-1830456,-4094109,-5424991
110053,530438,-1011927,77884,-358221,2199331,-2454931,-2074124,-4692452,-5365585,-3283905,-6219517,-3315426,-4002201,-1840126,-4098664,-4982114
110054,527611,-1008163,73396,-362458,2193130,-2631276,-2079323,-4695320,-5360156,-3285130,-6218314,-3303739,-4000771,-1840272,-4099951,-4979226
110055,529613,-1012044,72102,-363516,2187079,-3151518,-2081732,-4688758,-5353340,-3282907,-6209805,-3314172,-3997486,-1831706,-4096765,-5409896
110056,532425,-1016062,75345,-360714,2191276,-3019280,-2078116,-4686454,-5358154,-3282120,-6210479,-3326474,-3999625,-1831712,-4096269,-5453717
110057,530434,-1012433,75428,-361047,2196186,-2485372,-2076852,-4694247,-5365474,-3285211,-6219632,-3316526,-4004281,-1841583,-4100806,-5017037
110058,527130,-1008012,70781,-365489,2191164,-2543875,-2081805,-4698942,-5361911,-3287287,-6220729,-3302867,-4004021,-1844079,-4103217,-4916956
110059,528252,-1011073,68385,-367479,2183899,-3088364,-2085415,-4693453,-5354429,-3285576,-6212512,-3310622,-4000513,-1835961,-4100542,-5332363
110060,531481,-1016338,71089,-365057,2186428,-3103771,-2082530,-4689473,-5357610,-3284415,-6211185,-3326023,-4001802,-1833793,-4099310,-5493432
110061,530169,-1014355,71984,-364596,2192118,-2562557,-2080445,-4696358,-5366170,-3287299,-6220335,-3320405,-4006757,-1843221,-4103470,-5090912
110062,526629,-1009642,67703,-368814,2188629,-2491243,-2084747,-4702534,-5364647,-3289989,-6223564,-3305591,-4007539,-1847804,-4106699,-4893886
110063,526959,-1011507,64626,-371425,2180646,-3016368,-2089147,-4698259,-5356644,-3288667,-6215844,-3309684,-4003864,-1840411,-4104404,-5260602
110064,530601,-1017287,66939,-369324,2181539,-3167476,-2086941,-4692717,-5357796,-3287047,-6212369,-3326408,-4004129,-1836122,-4102381,-5518537
110065,530143,-1016497,68764,-367948,2187833,-2643028,-2083975,-4698109,-5366651,-3289264,-6220576,-3324515,-4008942,-1844417,-4105787,-5165924
