Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
128820,544283,-1049678,-112287,-579756,1936594,-2935242,-2301926,-5145724,-5384409,-3261754,-6211506,-3810258,-3986682,-1725812,-3947593,-5352391
128821,545044,-1049622,-109650,-576719,1942432,-2584944,-2296320,-5147779,-5390809,-3262048,-6216371,-3812102,-3987490,-1729877,-3947298,-5150791
128822,542834,-1044874,-110838,-577335,1943475,-2336560,-2295409,-5153011,-5392306,-3263274,-6221005,-3808527,-3986552,-1734821,-3948326,-4879061
128823,541319,-1044217,-113456,-580252,1937773,-2635206,-2300931,-5151937,-5386482,-3263251,-6217180,-3806165,-3985663,-1731781,-3949017,-5032477
128824,543538,-1049019,-112681,-580250,1936113,-2941735,-2302441,-5146199,-5384047,-3262161,-6212024,-3809507,-3986852,-1726468,-3948422,-5336477
128825,544926,-1050169,-109775,-577089,1941654,-2658851,-2297109,-5146866,-5390001,-3262179,-6215689,-3812302,-3988016,-1729305,-3947961,-5206952
128826,543175,-1045491,-110191,-576819,1944166,-2338129,-2294736,-5152291,-5392757,-3263237,-6221102,-3809134,-3987107,-1734825,-3948656,-4898306
128827,541483,-1043460,-112696,-579450,1939278,-2561111,-2299466,-5152336,-5387466,-3263383,-6218426,-3805866,-3985906,-1733019,-3949409,-4978279
128828,543301,-1047827,-112604,-580134,1936285,-2927617,-2302249,-5146600,-5383664,-3262332,-6212572,-3808481,-3986831,-1727259,-3949048,-5305400
128829,545400,-1049912,-109490,-576933,1941350,-2730062,-2297335,-5145651,-5388567,-3261829,-6214518,-3811726,-3987983,-1728415,-3948194,-5255661
128830,543956,-1045840,-109357,-576029,1944951,-2357520,-2293876,-5151063,-5392691,-3262891,-6220599,-3809449,-3987420,-1734424,-3948802,-4930087
128831,541943,-1042756,-111812,-578434,1940924,-2492086,-2297752,-5152366,-5388284,-3263216,-6219260,-3805529,-3985998,-1733936,-3949616,-4932718
128832,543154,-1046352,-112330,-579692,1936871,-2894542,-2301591,-5146962,-5383327,-3262242,-6212972,-3807112,-3986497,-1727930,-3949390,-5261667
128833,545169,-1049852,-109679,-577241,1940558,-2798522,-2298010,-5144974,-5387212,-3261751,-6213583,-3811144,-3988117,-1727808,-3948737,-5297616
128834,544098,-1046548,-108834,-575718,1945109,-2392815,-2293687,-5150140,-5392529,-3262806,-6220060,-3809914,-3987950,-1733960,-3949244,-4972522
128835,541856,-1042665,-111132,-577861,1942241,-2432236,-2296549,-5152665,-5389416,-3263477,-6220326,-3805769,-3986565,-1734999,-3950202,-4897754
128836,542347,-1045382,-112324,-579706,1937315,-2845668,-2301294,-5147957,-5383665,-3262641,-6214082,-3806360,-3986676,-1729181,-3950152,-5208772
128837,544771,-1049537,-109840,-577602,1939978,-2857732,-2298714,-5144482,-5386079,-3261866,-6213032,-3810601,-3988303,-1727457,-3949382,-5328084
