usuario,n_trials,mejor_nivel,mejor_grupo,mejor_feature_set,mejor_clasificador,accuracy_mean,f1_macro_mean
UserCMSM,1228,super_clase,Letters/Numbers/Controls,Wavelets,MLP,0.9226248548199768,0.8595744487314991
UserMartinEpoc,1202,super_clase,Letters/Numbers/Controls,Frecuencias_Abs,Ensamble_SVMLin_LogReg,0.891832641770401,0.7765015022222232
