Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2766,-33.81147,-34.47697,-49.84375,-53.5464,-54.19168,-45.39712,-33.86682,-37.29383
2767,-33.29403,-33.71329,-51.11975,-55.60464,-55.97472,-48.20256,-43.07706,-37.03959
2768,-32.25915,-32.69505,-51.11975,-54.31824,-55.46528,-46.16224,-42.56538,-37.80231
2769,-28.89579,-29.38577,-46.52615,-48.91536,-49.86144,-39.5312,-33.61098,-35.00567
2770,-23.20395,-23.27633,-38.10455,-41.19696,-42.72928,-32.39008,-26.7033,-29.66663
2771,-19.84059,-20.22161,-33.00055,-35.5368,-38.65376,-27.54432,-21.07482,-27.12423
2772,-21.13419,-22.25809,-33.51095,-36.56592,-40.4368,-30.85984,-27.21498,-29.41239
2773,-22.42779,-23.27633,-35.55255,-38.36688,-42.21984,-34.4304,-35.40186,-30.68359
2774,-21.91035,-22.51265,-36.06295,-38.36688,-42.21984,-34.4304,-35.40186,-28.64967
2775,-20.35803,-20.73073,-36.31815,-38.36688,-42.984,-33.92032,-31.56426,-24.32759
2776,-21.39291,-22.00353,-36.82855,-39.396,-44.00288,-32.90016,-28.49418,-24.32759
2777,-22.16907,-22.51265,-34.53175,-37.85232,-40.69152,-28.30944,-25.16826,-23.56487
2778,-17.77083,-17.67601,-28.40695,-32.44944,-34.57824,-21.93344,-16.98138,-20.25975
2779,-11.82027,-11.82113,-23.55815,-28.07568,-31.26688,-21.93344,-18.77226,-14.15799
2780,-10.26795,-10.80289,-23.81335,-28.84752,-33.30464,-27.28928,-30.79674,-12.37831
2781,-12.59643,-13.09393,-24.83415,-29.61936,-34.0688,-26.7792,-31.05258,-14.15799
2782,-14.40747,-14.62129,-22.79255,-26.532,-29.73856,-21.16832,-21.5865,-14.15799
2783,-11.56155,-11.82113,-17.17815,-20.1,-22.35168,-15.55744,-12.12042,-12.12407
2784,-8.71563,-8.76641,-14.37095,-16.49808,-17.512,-12.752,-4.9569,-12.37831
2785,-8.19819,-8.76641,-14.88135,-16.2408,-16.2384,-13.26208,-2.3985,-13.64951
2786,-8.19819,-8.76641,-14.88135,-16.2408,-16.2384,-15.55744,-11.86458,-12.12407
2787,-6.90459,-6.98449,-13.86055,-15.98352,-16.74784,-15.3024,-17.49306,-8.05623
2788,-3.54123,-3.92977,-12.83975,-15.21168,-16.49312,-13.77216,-15.1905,-7.29351
2789,-2.76507,-3.16609,-11.81895,-14.18256,-15.72896,-12.49696,-13.9113,-10.34439
2790,-3.28251,-3.92977,-9.52215,-10.06608,-11.39872,-6.63104,-5.46858,-10.09015
2791,-3.02379,-2.91153,-8.75655,-8.00784,-8.34208,-3.8256,-4.18938,-9.32743
2792,-5.09355,-4.94801,-11.81895,-11.35248,-9.8704,-6.63104,-9.81786,-11.61559
2793,-6.64587,-6.72993,-12.32935,-12.63888,-10.12512,-7.90624,-9.05034,-15.17495
2794,-8.19819,-8.76641,-11.81895,-11.60976,-10.63456,-7.90624,-6.49194,-18.98855
2795,-8.71563,-9.02097,-12.58455,-12.12432,-13.18176,-10.71168,-8.7945,-17.20887
2796,-12.85515,-13.60305,-17.68855,-17.26992,-17.76672,-14.79232,-10.0737,-18.48007
2797,-16.47723,-16.91233,-21.77175,-21.3864,-20.31392,-17.34272,-13.39962,-19.75127
2798,-16.73595,-16.91233,-21.77175,-21.90096,-21.58752,-19.38304,-18.26058,-20.51399
2799,-16.99467,-17.16689,-21.77175,-21.64368,-21.07808,-18.36288,-13.9113,-22.29367
2800,-15.70107,-16.40321,-20.24055,-19.84272,-19.04032,-13.77216,-6.2361,-21.53095
2801,-17.51211,-18.18513,-21.00615,-20.87184,-19.54976,-13.26208,-6.49194,-22.80215
2802,-17.77083,-18.18513,-20.49575,-21.12912,-19.54976,-14.53728,-10.84122,-21.27671
2803,-13.37259,-13.09393,-16.15735,-17.78448,-15.72896,-13.26208,-7.00362,-16.95463
2804,-12.59643,-13.34849,-16.66775,-18.55632,-16.74784,-16.32256,-11.60874,-19.24279
2805,-14.14875,-14.87585,-19.21975,-20.35728,-18.7856,-19.63808,-21.07482,-18.73431
2806,-13.89003,-14.11217,-18.70935,-19.84272,-17.76672,-17.8528,-20.3073,-17.46311
2807,-13.63131,-14.11217,-19.98535,-20.87184,-19.54976,-18.10784,-17.23722,-18.98855
2808,-12.59643,-13.09393,-21.26135,-22.41552,-21.3328,-19.63808,-15.1905,-17.20887
2809,-15.95979,-16.91233,-23.81335,-23.9592,-23.11584,-19.38304,-9.81786,-22.29367
2810,-20.35803,-21.23985,-25.85495,-25.50288,-23.88,-19.128,-11.60874,-27.12423
2811,-20.09931,-20.22161,-24.83415,-25.2456,-23.37056,-20.14816,-19.28394,-24.83607
2812,-19.32315,-19.45793,-26.36535,-26.532,-26.17248,-23.97376,-24.91242,-25.59879
2813,-19.32315,-19.71249,-28.91735,-29.36208,-29.99328,-29.07456,-28.49418,-28.39543
2814,-18.80571,-19.20337,-29.68295,-30.64848,-31.5216,-30.6048,-29.2617,-30.42935
2815,-21.13419,-21.74897,-30.19335,-31.93488,-32.7952,-30.6048,-25.67994,-30.42935
2816,-25.27371,-26.07649,-31.46935,-32.964,-33.30464,-27.79936,-16.21386,-33.48023
2817,-28.89579,-29.89489,-33.76615,-35.27952,-36.616,-30.09472,-22.60986,-36.27687
2818,-32.51787,-33.45873,-37.08375,-39.13872,-41.96512,-36.21568,-35.14602,-36.78535
2819,-33.03531,-33.71329,-36.82855,-38.88144,-42.72928,-35.96064,-36.68106,-36.27687
