CH1SET,CH2SET,CH3SET,CH4SET,CH5SET,CH6SET,CH7SET,CH8SET,CH1SET1,CH2SET1,CH3SET1,CH4SET1,CH5SET1,CH6SET1,CH7SET1,CH8SET1
231406, -25019, 337109, 499836, -29424, 60468, 339906, -21026, -25019, 337109, 499836, -29424, 60468, 339906, -21026, -25019, 337109, 499836, -29424, 60468, 339906, -21026
229777, -24587, 336498, 493191, -29277, 62603, 314735, -21056, -24587, 336498, 493191, -29277, 62603, 314735, -21056, -24587, 336498, 493191, -29277, 62603, 314735, -21056
224378, -24841, 354416, 488821, -28992, 59016, 292562, -20987, -24841, 354416, 488821, -28992, 59016, 292562, -20987, -24841, 354416, 488821, -28992, 59016, 292562, -20987
224606, -24911, 335924, 483138, -29152, 52949, 291612, -20892, -24911, 335924, 483138, -29152, 52949, 291612, -20892, -24911, 335924, 483138, -29152, 52949, 291612, -20892
213736, -24896, 351286, 490391, -29364, 54776, 330066, -20805, -24896, 351286, 490391, -29364, 54776, 330066, -20805, -24896, 351286, 490391, -29364, 54776, 330066, -20805
214113, -25002, 354410, 498381, -29176, 63202, 303679, -21274, -25002, 354410, 498381, -29176, 63202, 303679, -21274, -25002, 354410, 498381, -29176, 63202, 303679, -21274
226655, -24744, 342869, 508146, -29326, 60220, 322514, -21109, -24744, 342869, 508146, -29326, 60220, 322514, -21109, -24744, 342869, 508146, -29326, 60220, 322514, -21109
232134, -24683, 318932, 493593, -29257, 58109, 294561, -20999, -24683, 318932, 493593, -29257, 58109, 294561, -20999, -24683, 318932, 493593, -29257, 58109, 294561, -20999
241929, -24841, 327682, 496418, -29034, 56438, 312506, -21099, -24841, 327682, 496418, -29034, 56438, 312506, -21099, -24841, 327682, 496418, -29034, 56438, 312506, -21099
230924, -24488, 337989, 503386, -28986, 58206, 320828, -20918, -24488, 337989, 503386, -28986, 58206, 320828, -20918, -24488, 337989, 503386, -28986, 58206, 320828, -20918
232587, -24641, 340329, 473624, -29165, 61343, 337649, -21046, -24641, 340329, 473624, -29165, 61343, 337649, -21046, -24641, 340329, 473624, -29165, 61343, 337649, -21046
222213, -24597, 330610, 488753, -29223, 58328, 316336, -21057, -24597, 330610, 488753, -29223, 58328, 316336, -21057, -24597, 330610, 488753, -29223, 58328, 316336, -21057
221329, -24110, 343641, 479962, -29272, 59396, 286377, -20989, -24110, 343641, 479962, -29272, 59396, 286377, -20989, -24110, 343641, 479962, -29272, 59396, 286377, -20989
224880, -24612, 341740, 484440, -29303, 57808, 297318, -20962, -24612, 341740, 484440, -29303, 57808, 297318, -20962, -24612, 341740, 484440, -29303, 57808, 297318, -20962
215339, -24984, 332812, 489483, -28957, 57250, 317255, -20944, -24984, 332812, 489483, -28957, 57250, 317255, -20944, -24984, 332812, 489483, -28957, 57250, 317255, -20944
214818, -24747, 340291, 490008, -29016, 56622, 310209, -21287, -24747, 340291, 490008, -29016, 56622, 310209, -21287, -24747, 340291, 490008, -29016, 56622, 310209, -21287
226123, -24576, 328256, 497252, -29283, 52643, 287245, -21136, -24576, 328256, 497252, -29283, 52643, 287245, -21136, -24576, 328256, 497252, -29283, 52643, 287245, -21136
222284, -24417, 319844, 462706, -29225, 61389, 308243, -21049, -24417, 319844, 462706, -29225, 61389, 308243, -21049, -24417, 319844, 462706, -29225, 61389, 308243, -21049
218232, -24210, 326817, 468683, -29114, 63028, 303993, -21092, -24210, 326817, 468683, -29114, 63028, 303993, -21092, -24210, 326817, 468683, -29114, 63028, 303993, -21092
219366, -24716, 327916, 480523, -29069, 56921, 296124, -21117, -24716, 327916, 480523, -29069, 56921, 296124, -21117, -24716, 327916, 480523, -29069, 56921, 296124, -21117
219026, -24582, 317495, 482889, -29046, 55791, 267809, -21162, -24582, 317495, 482889, -29046, 55791, 267809, -21162, -24582, 317495, 482889, -29046, 55791, 267809, -21162
220343, -24892, 317011, 496956, -28965, 58423, 289353, -21093, -24892, 317011, 496956, -28965, 58423, 289353, -21093, -24892, 317011, 496956, -28965, 58423, 289353, -21093
230154, -24294, 316276, 493211, -29202, 51532, 299500, -20762, -24294, 316276, 493211, -29202, 51532, 299500, -20762, -24294, 316276, 493211, -29202, 51532, 299500, -20762
220062, -24090, 323788, 491733, -29269, 52309, 301664, -20893, -24090, 323788, 491733, -29269, 52309, 301664, -20893, -24090, 323788, 491733, -29269, 52309, 301664, -20893
219158, -24880, 314649, 483337, -29121, 61567, 291389, -21164, -24880, 314649, 483337, -29121, 61567, 291389, -21164, -24880, 314649, 483337, -29121, 61567, 291389, -21164
222460, -24973, 310666, 500639, -29059, 63460, 301946, -21246, -24973, 310666, 500639, -29059, 63460, 301946, -21246, -24973, 310666, 500639, -29059, 63460, 301946, -21246
220189, -24700, 322928, 467463, -28931, 60392, 308702, -21131, -24700, 322928, 467463, -28931, 60392, 308702, -21131, -24700, 322928, 467463, -28931, 60392, 308702, -21131
215941, -24419, 329403, 451173, -28926, 56945, 287353, -21266, -24419, 329403, 451173, -28926, 56945, 287353, -21266, -24419, 329403, 451173, -28926, 56945, 287353, -21266
214281, -24781, 305003, 457261, -28981, 53016, 303872, -21122, -24781, 305003, 457261, -28981, 53016, 303872, -21122, -24781, 305003, 457261, -28981, 53016, 303872, -21122
210284, -24787, 299731, 468820, -29160, 52633, 292106, -21226, -24787, 299731, 468820, -29160, 52633, 292106, -21226, -24787, 299731, 468820, -29160, 52633, 292106, -21226
218967, -25126, 314423, 460989, -29016, 58243, 295819, -21304, -25126, 314423, 460989, -29016, 58243, 295819, -21304, -25126, 314423, 460989, -29016, 58243, 295819, -21304
215676, -24861, 325989, 455934, -29245, 61659, 293013, -21437, -24861, 325989, 455934, -29245, 61659, 293013, -21437, -24861, 325989, 455934, -29245, 61659, 293013, -21437
205593, -24490, 332576, 474902, -29301, 60570, 276283, -21356, -24490, 332576, 474902, -29301, 60570, 276283, -21356, -24490, 332576, 474902, -29301, 60570, 276283, -21356
213089, -24778, 327327, 478586, -29234, 66548, 297931, -21216, -24778, 327327, 478586, -29234, 66548, 297931, -21216, -24778, 327327, 478586, -29234, 66548, 297931, -21216
210998, -24941, 320364, 460158, -28956, 64464, 280703, -20963, -24941, 320364, 460158, -28956, 64464, 280703, -20963, -24941, 320364, 460158, -28956, 64464, 280703, -20963
210405, -24930, 316799, 458846, -28774, 60324, 270610, -20800, -24930, 316799, 458846, -28774, 60324, 270610, -20800, -24930, 316799, 458846, -28774, 60324, 270610, -20800
