nivel,grupo,n_clases,feature_set,n_features,clasificador,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,Ensamble_SVMLin_LogReg,0.891832641770401,0.00889923941808434,0.7765015022222232,0.022854028588212196
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,LogReg,0.8893326417704012,0.011521571283349588,0.7743029712718748,0.02695187435201429
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,SVM_Lineal,0.8901659751037345,0.010892134843778625,0.771984244730982,0.026399593771371906
super_clase,Letters/Numbers/Controls,3,TODAS,686,Ensamble_SVMLin_LogReg,0.8868291839557398,0.016899459915511245,0.7713816148476527,0.04300523508581169
super_clase,Letters/Numbers/Controls,3,TODAS,686,LogReg,0.8859958506224066,0.018136101100842583,0.7704157376179155,0.04391314148256473
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,MLP,0.8901625172890734,0.017701127066705024,0.7691024363626717,0.03537455905725557
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,SVM_Lineal,0.8918118948824343,0.023104178834297814,0.7686743385169719,0.039917398188311325
super_clase,Letters/Numbers/Controls,3,TODAS,686,SVM_Lineal,0.8860027662517289,0.014238483893069837,0.7684371596908091,0.03811580207305796
super_clase,Letters/Numbers/Controls,3,TODAS,686,MLP,0.8818430152143846,0.014720020575947866,0.7660855710172825,0.03350057163614121
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,Ensamble_SVMLin_LogReg,0.8918153526970954,0.020884206121617822,0.7659548754682947,0.03711058512511637
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,RF,0.8802040110650069,0.02471885023740392,0.7653139753632255,0.045135164697021786
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,LogReg,0.8901521438450899,0.02226344682068239,0.7652561404645419,0.03706955823906175
super_clase,Letters/Numbers/Controls,3,Wavelets,252,RF,0.8785200553250345,0.018402893098815543,0.7590716245211746,0.03323702256347902
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,XGBC,0.8726867219917013,0.018686311326109293,0.758683970313716,0.0365607293115673
super_clase,Letters/Numbers/Controls,3,Frecuencias_Todas,350,XGBC,0.8735408022130013,0.02584393115955255,0.7583113431741857,0.048238153409639925
super_clase,Letters/Numbers/Controls,3,Wavelets,252,Ensamble_MLP_SVMRBF,0.8826798063623789,0.016432030067388005,0.758281007610164,0.03984720317405049
super_clase,Letters/Numbers/Controls,3,TODAS,686,Ensamble_MLP_SVMRBF,0.8843395573997233,0.012070132969448125,0.7568156789378857,0.03390464827234553
super_clase,Letters/Numbers/Controls,3,Wavelets,252,LogReg,0.879356846473029,0.023176266840671103,0.756058974559355,0.040104841154341576
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,SVM_RBF,0.8884993084370677,0.014661775965231523,0.7555270126709067,0.033534321643835165
super_clase,Letters/Numbers/Controls,3,Wavelets,252,Ensamble_SVMLin_LogReg,0.8776867219917012,0.021752555510840946,0.7550796590625415,0.041700340732927485
super_clase,Letters/Numbers/Controls,3,Frecuencias_Abs,70,RF,0.8735235131396957,0.01472381821329479,0.7550046598743043,0.03203218932727993
