Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
184,1.67055,-13.60535,-2.60496,-10.63456,-5.86592,5.78838,-9.48236,-7.19488
185,1.67055,-12.83975,-2.60496,-10.88928,-6.12096,5.2767,-7.955,-6.424
186,2.68879,-8.75655,4.3416,-2.2288,4.59072,9.37014,-2.8638,1.79872
187,5.48895,-6.45975,8.2008,0.57312,5.86592,7.06758,-0.57276,4.62528
188,6.76175,-5.94935,5.628,-1.46464,2.5504,5.53254,-2.10012,2.05568
189,13.88943,-2.37655,5.37072,-3.5024,2.04032,13.20774,0.44548,2.05568
190,17.45327,2.21705,11.28816,2.35616,11.4768,23.44134,6.0458,10.2784
191,9.56191,-0.33495,12.83184,3.12032,10.71168,14.99862,3.75476,11.5632
192,1.67055,-8.50135,6.14256,-5.54016,-1.78528,4.76502,-4.1366,3.34048
193,9.56191,-5.94935,7.17168,-4.01184,1.2752,16.7895,-2.10012,2.5696
194,7.27087,-5.18375,8.2008,-0.9552,4.08064,5.78838,-1.591,3.34048
195,2.17967,-8.50135,5.88528,-0.70048,2.5504,-5.72442,-2.10012,3.34048
196,1.67055,-11.05335,3.0552,-2.99296,-1.02016,3.22998,-2.8638,1.02784
197,4.97983,-7.73575,4.59888,-0.9552,1.2752,10.64934,-1.84556,1.79872
198,0.65231,-4.41815,8.97264,6.43168,11.4768,13.71942,-0.57276,6.68096
199,-0.62049,-6.71495,5.628,1.84672,3.06048,14.74278,-2.35468,3.59744
200,-1.89329,-10.54295,0.4824,-4.01184,-5.35584,14.2311,-5.66396,0.25696
201,0.65231,-8.50135,1.51152,-1.97408,-2.80544,14.2311,-3.11836,2.05568
202,5.23439,-4.67335,5.37072,3.12032,4.84576,22.41798,0.9546,5.91008
203,4.21615,-6.45975,4.59888,3.37504,6.88608,28.04646,-0.3182,5.39616
204,-1.38417,-12.58455,-1.57584,-3.24768,0.0,16.02198,-6.42764,-0.51392
205,-1.12961,-12.32935,-2.60496,-5.54016,-2.5504,8.34678,-5.66396,-2.5696
206,8.28911,-5.94935,3.0552,0.3184,3.57056,17.81286,-0.06364,1.79872
207,9.56191,-4.67335,4.85616,3.88448,6.88608,28.81398,-1.08188,3.34048
208,3.45247,-9.52215,0.99696,0.06368,1.2752,17.81286,-6.42764,0.25696
209,-1.89329,-12.32935,-0.28944,-1.20992,-1.2752,-0.86346,-7.19132,1.54176
210,0.90687,-10.28775,1.51152,-0.44576,-0.25504,3.9975,-6.17308,2.31264
211,4.21615,-9.26695,1.7688,-0.70048,1.78528,19.85958,-7.955,-1.2848
212,-9.02097,-16.15735,-2.60496,-4.01184,-0.25504,19.09206,-14.82812,-7.7088
213,-11.82113,-16.15735,-1.83312,-2.48352,1.02016,18.0687,-12.53708,-6.424
214,4.21615,-4.16295,7.42896,5.66752,6.12096,19.3479,0.9546,2.82656
215,10.58015,2.98265,14.11824,12.54496,13.00704,24.72054,8.33684,9.50752
216,-2.40241,-5.69415,7.42896,5.92224,6.88608,16.7895,-2.60924,2.05568
217,-8.76641,-13.09495,0.99696,0.06368,0.51008,2.97414,-8.20956,-2.31264
218,-0.62049,-7.48055,5.37072,5.15808,7.39616,14.99862,0.19092,2.31264
219,4.21615,-4.92855,6.39984,4.64864,6.376,24.97638,4.00932,2.31264
220,11.59839,-4.41815,4.85616,1.33728,2.5504,11.41686,5.02756,0.77088
221,1.67055,-9.26695,1.51152,-1.20992,0.25504,6.5559,-1.33644,-2.05568
222,-16.40321,-16.41255,-1.31856,-1.46464,0.76512,14.74278,-8.46412,-4.11136
223,-12.83937,-13.86055,0.99696,1.84672,4.33568,19.09206,-4.64572,0.51392
224,1.16143,-6.71495,5.37072,6.43168,7.90624,13.97526,1.97284,5.91008
225,5.48895,-4.92855,5.37072,5.4128,4.84576,14.2311,2.2274,3.34048
226,6.76175,-1.35575,8.45808,10.25248,9.43648,23.69718,6.55492,7.19488
227,5.48895,0.43065,10.7736,14.83744,14.53728,25.7439,9.8642,12.33408
228,-0.62049,-4.16295,7.17168,10.25248,8.16128,7.57926,8.33684,12.07712
229,0.90687,-4.67335,6.9144,6.43168,2.04032,-2.3985,9.8642,12.848
230,8.28911,1.70665,12.31728,10.5072,6.376,6.04422,15.46452,16.44544
231,12.61663,6.30025,16.17648,15.09216,11.73184,13.97526,18.51924,17.9872
232,11.85295,5.53465,15.14736,14.07328,10.71168,12.9519,16.2282,15.67456
233,11.85295,5.78985,15.9192,14.328,9.43648,15.5103,15.46452,16.18848
