Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
141,-6.47537,-10.03255,-9.03696,-4.52128,-1.02016,-9.81786,-9.48236,-1.79872
142,-0.11137,-7.99095,-8.5224,-5.79488,-2.80544,-8.7945,-8.46412,-3.34048
143,12.87119,-2.12135,-5.69232,-5.79488,-4.08064,-8.02698,-3.11836,-6.16704
144,-3.42065,-7.99095,-7.236,-4.52128,-1.53024,-5.21274,-7.70044,-10.2784
145,-14.11217,-12.07415,-8.26512,-0.70048,5.86592,-4.44522,-11.51884,-10.02144
146,-13.85761,-13.60535,-12.63888,-4.26656,2.80544,-9.05034,-15.33724,-12.07712
147,-13.85761,-15.13655,-18.29904,-11.39872,-7.14112,-7.5153,-18.1374,-14.1328
148,-7.74817,-12.07415,-17.01264,-10.88928,-7.14112,-5.21274,-14.319,-10.02144
149,1.41599,-6.97015,-11.60976,-5.79488,-1.53024,-3.93354,-8.20956,-4.62528
150,-4.69345,-9.52215,-12.12432,-6.55904,-2.5504,-10.58538,-11.7734,-5.39616
151,-13.85761,-14.88135,-16.49808,-11.90816,-9.69152,-20.05146,-19.66476,-9.50752
152,-12.33025,-13.09495,-14.18256,-9.8704,-6.12096,-14.93466,-18.64652,-6.68096
153,-1.63873,-4.16295,-6.46416,-0.70048,5.61088,-4.18938,-10.75516,-0.25696
154,10.32559,1.19625,-4.40592,0.06368,4.08064,-9.30618,-5.91852,-0.51392
155,4.47071,-3.90775,-9.8088,-6.55904,-7.14112,-14.93466,-12.28252,-5.39616
156,-6.72993,-10.54295,-12.3816,-8.08736,-10.2016,-12.12042,-17.62828,-3.34048
157,1.16143,-2.37655,-3.11952,3.12032,4.59072,-8.53866,-6.93676,12.33408
158,12.61663,5.78985,2.28336,7.70528,8.9264,-6.74778,-0.06364,18.50112
159,8.03455,1.70665,-1.57584,0.57312,0.51008,-3.16602,-4.90028,12.848
160,1.16143,-2.12135,-1.83312,-1.46464,-1.2752,-0.35178,-7.19132,11.30624
161,3.45247,-0.07975,0.99696,0.3184,-0.25504,-3.6777,-3.62748,12.59104
162,11.08927,2.98265,2.54064,2.8656,2.04032,-1.63098,-0.06364,15.16064
163,11.59839,4.00345,4.3416,6.17696,6.12096,-3.93354,0.70004,18.75808
164,18.98063,8.08665,7.17168,7.70528,6.63104,-6.74778,2.99108,21.07072
165,21.01711,10.12825,9.74448,8.72416,8.16128,-5.72442,4.51844,23.1264
166,13.38031,7.06585,10.00176,9.48832,8.67136,-5.72442,2.99108,23.89728
167,15.41679,9.10745,12.57456,12.54496,10.96672,0.92742,7.06404,28.77952
168,23.05359,13.70105,15.66192,15.6016,14.28224,5.78838,11.39156,31.09216
169,16.43503,7.83145,9.74448,9.2336,8.9264,3.48582,1.97284,21.32768
170,11.59839,2.72745,5.628,4.90336,6.376,1.4391,-4.1366,14.38976
171,14.14399,1.19625,3.56976,2.8656,5.35584,-3.16602,-4.39116,11.30624
172,3.96159,-5.43895,-2.34768,-2.48352,0.0,-5.98026,-9.99148,4.62528
173,-3.67521,-7.48055,-4.40592,-3.75712,-0.25504,-0.60762,-13.30076,1.54176
174,2.17967,-2.88695,-1.83312,-0.9552,3.06048,-0.09594,-11.26428,6.424
175,3.70703,-4.16295,-3.89136,-4.01184,-2.5504,-10.58538,-13.80988,6.68096
176,-3.16609,-9.77735,-9.03696,-10.63456,-13.26208,-15.44634,-18.90108,2.05568
177,-2.91153,-7.73575,-7.75056,-9.61568,-11.98688,-11.09706,-17.37372,2.82656
178,1.16143,-2.63175,-4.92048,-4.26656,-2.04032,0.67158,-12.28252,6.16704
179,2.94335,-1.61095,-8.00784,-5.54016,-2.5504,-1.88682,-14.06444,2.31264
