Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
488,-3.16609,-6.20455,-2.0904,-3.24768,5.61088,-22.09818,-7.955,-2.05568
489,-8.00273,-6.45975,-0.54672,0.3184,8.41632,-16.98138,-10.5006,-1.2848
490,-8.00273,-5.18375,-1.06128,0.3184,7.14112,-17.7489,-9.73692,-1.02784
491,-6.98449,-5.43895,-2.86224,-1.71936,4.08064,-19.79562,-8.46412,-1.54176
492,0.14319,-0.07975,2.28336,2.61088,8.67136,-13.9113,-2.8638,3.59744
493,6.50719,7.06585,11.28816,11.01664,16.83264,-4.70106,3.75476,12.33408
494,4.21615,5.53465,12.06,12.03552,16.5776,-5.21274,2.48196,13.36192
495,2.68879,3.23785,9.4872,9.74304,13.77216,-8.53866,1.20916,12.59104
496,5.48895,6.04505,11.28816,10.25248,15.81248,-4.9569,4.51844,15.16064
497,10.58015,10.63865,16.17648,13.81856,19.63808,0.41574,9.8642,18.75808
498,13.63487,11.65945,17.97744,14.83744,19.63808,1.4391,11.137,18.75808
499,13.38031,10.12825,15.66192,12.03552,16.83264,1.18326,8.33684,15.93152
