Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz
331,21.01711,9.10745,-2.60496,7.19584,13.77216,3.9975,2.73652,13.87584
332,19.23519,7.83145,-3.63408,6.17696,11.98688,2.20662,0.9546,14.1328
333,20.25343,10.38345,-1.83312,8.72416,14.0272,3.22998,3.75476,14.90368
334,21.52623,12.16985,0.73968,10.5072,14.79232,3.22998,5.28212,14.1328
335,18.98063,10.38345,-0.54672,8.46944,12.24192,0.41574,2.73652,11.5632
336,14.14399,6.30025,-5.17776,4.1392,9.18144,-1.63098,-1.591,7.96576
337,10.32559,4.00345,-7.75056,1.592,8.67136,-1.88682,-3.88204,6.68096
338,8.54367,3.74825,-6.20688,1.08256,8.67136,-2.65434,-2.8638,9.50752
339,7.77999,1.45145,-6.46416,-1.20992,5.86592,-5.98026,-1.84556,11.5632
340,6.76175,-2.37655,-9.29424,-4.26656,2.5504,-8.7945,-2.60924,10.2784
341,8.28911,-1.61095,-9.29424,-2.73824,4.08064,-7.00362,-2.10012,9.76448
342,6.76175,-1.35575,-9.55152,-3.24768,3.8256,-7.77114,-4.39116,7.45184
343,0.14319,-6.97015,-14.18256,-9.8704,-2.04032,-13.9113,-11.00972,0.51392
344,-0.87505,-8.75655,-15.98352,-11.65344,-2.5504,-14.16714,-12.02796,-1.79872
345,2.43423,-5.18375,-12.12432,-6.81376,2.29536,-8.53866,-10.24604,1.2848
346,1.67055,-4.67335,-9.03696,-5.28544,4.08064,-5.98026,-12.79164,1.54176
347,-1.38417,-6.97015,-8.77968,-7.83264,1.02016,-8.02698,-16.61004,-0.51392
348,-1.63873,-7.73575,-8.26512,-9.36096,-0.51008,-9.05034,-16.61004,0.51392
349,4.72527,-1.10055,-1.31856,-2.99296,5.1008,-4.44522,-7.70044,9.25056
350,9.81647,5.27945,5.37072,3.88448,11.4768,0.1599,-1.33644,15.4176
351,7.77999,4.76905,5.37072,3.62976,11.22176,0.41574,-4.1366,14.1328
352,4.97983,1.96185,3.31248,0.82784,8.9264,-1.63098,-7.955,11.04928
353,7.52543,3.74825,6.14256,3.37504,10.96672,-0.09594,-6.42764,13.10496
354,11.85295,7.57625,10.00176,8.46944,15.3024,2.46246,-4.39116,17.21632
355,14.14399,10.38345,12.57456,11.01664,17.59776,3.9975,-3.37292,20.29984
356,15.92591,11.91465,15.40464,13.30912,19.38304,6.81174,-0.82732,23.1264
357,18.72607,13.70105,18.492,16.11104,21.42336,9.88182,3.24564,26.46688
358,22.03535,15.48745,21.32208,19.16768,23.46368,11.41686,6.80948,28.2656
