Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
-0.005043984096099237,-0.03631058720712434,0.01833572900614381,-0.0097702301741821,0.02780455376685336,0.007438439215865549,0.06472731405796708,-0.001381214908408957,0.18947482045613526,0.18767417023362368,0.188308117508927,0.1892039811202266,0.18822430858765007,0.18856023761343182,0.18901486278114962,-0.00924310682788337
-0.22540337833206392,-0.04506572783488073,0.08208278514537815,-0.18492174068796405,0.03188399741814458,-0.03017382852020839,0.4573619345563974,-0.2244213224148559,0.8923377520074071,0.89069756176533,0.8929362764338541,0.8923553856785225,0.8916591986516766,0.8929150563782209,0.8945342323981246,0.08492917623850066
-0.42065853422564864,-0.08095268735200055,0.04688429743050025,-0.35332162159979014,-0.04119160665913078,-0.08870999023225663,0.630401942405464,-0.4288398453048302,1.376475679872574,1.3746983753599067,1.3781339866595568,1.3758454189164713,1.3756603482814338,1.3777926143278656,1.3797720665612034,0.07067705462288719
-0.6162880607638279,-0.17304170185205647,-0.1643317184674197,-0.5489749356352035,-0.2590048965384121,-0.20138348172849413,0.45985341594095036,-0.6434252418832339,1.5644647359749237,1.5624111277679513,1.5662418515289416,1.562268473376332,1.5626507551935378,1.5655514726202737,1.566761077954035,-0.13270281606610002
-0.8715884736613557,-0.3511355832904326,-0.5605729173946103,-0.828557701524815,-0.6378167923836775,-0.4076131606504867,-0.0174699331438241,-0.9219905934246166,1.5444295572264468,1.5423367563822117,1.5456379349612157,1.5405730451757038,1.54122923857625,1.5446518107887939,1.5442575159746157,-0.53073698018655
-1.2234541986879712,-0.6322417058198787,-1.0651157979534869,-1.2203273250510431,-1.1177586279560823,-0.7287717822601203,-0.6304523005049012,-1.2874196622952234,1.4764710833621797,1.474776463172006,1.4769759846798312,1.4717279252979485,1.4722490613514168,1.4757475626216003,1.4735986955852616,-1.0395134738457656
-1.6422047828770068,-1.0031021749694609,-1.5447793914136034,-1.6844963445362282,-1.5804026348643814,-1.1435463381718485,-1.1681864987295087,-1.6951189051999775,1.4795899683116025,1.4785210716665742,1.4797560941379146,1.474930913935593,1.4752479214879919,1.4782322718451122,1.4748114064384186,-1.520971025752738
-2.038069235207128,-1.414425002791077,-1.8710597463689957,-2.121753582657819,-1.902649265360583,-1.5850857223368144,-1.4779759190681871,-2.0494930508226505,1.5824806732644328,1.581803380517886,1.5828160945727168,1.5783649190948505,1.5789449167416054,1.5809117758569038,1.576958610124569,-1.8474733688893141
-2.307874119675532,-1.7957517079642107,-1.9724288874271572,-2.422051528950453,-2.00970215622447,-1.9656058016339897,-1.5115873382961784,-2.2550185598879655,1.7421068236517165,1.7412502861975923,1.7428461685212724,1.738324525061191,1.7398531886403643,1.7406983138588459,1.7368081811176337,-1.9523233396419897
-2.3858706287735925,-2.082528929437955,-1.8535618644242804,-2.5172658138594697,-1.899448667223147,-2.2126288049132796,-1.3160660144023564,-2.263347443314436,1.8897881627312285,1.8882154400274636,1.8907012512403318,1.8858480897829906,1.8886627606575908,1.8888319358981636,1.8852718477876522,-1.8446747281549425
