Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
-0.17499195038871956,-0.16917005041253558,-0.022456648117902548,-0.0847213520690478,-0.31854966677208324,-0.29629699909524543,-0.26607690850850635,-0.1602710459102461,-0.0033807092259775604,0.0012124169970286931,0.003763326870141752,0.004730990699371697,0.002694531998902514,0.00466187983560959,0.003089054972542248,-0.3004997207452991
-0.1777292022853327,-0.20131011007405478,-0.01532141436795309,-0.09295982195222226,-0.3182678894621479,-0.3111070427291918,-0.26356218262511144,-0.16116705831751818,-0.0033325984158482707,-0.0003190057570396684,0.003217345426039281,0.0027477955403080157,0.0034551744660833708,0.006294575653880046,0.0033463920910007383,-0.2924296131699638
-0.18067712774208963,-0.2233799181889278,-0.01000285179451868,-0.09924263216961972,-0.330566497590977,-0.31614514617495243,-0.2765251007805999,-0.16553848264920967,-0.0009472443815548822,0.0004976135429544243,0.004433655443581977,0.002867614004097296,0.004981006810069203,0.009322750156148293,0.005419133918506392,-0.29841313873913894
-0.18228715674733156,-0.23098543407784514,-0.0054312358226943575,-0.10197978909499013,-0.34729280034785875,-0.30975390943799497,-0.28987500324096643,-0.1722153627009633,0.005627025678256876,0.005921881101537489,0.009621700843666491,0.007508857490693225,0.009559544430652569,0.015401686996479405,0.011355221631329859,-0.3113831900747027
-0.176209129496755,-0.2286555869577675,0.0029277489880770143,-0.09869691426150687,-0.35129455121912406,-0.296918334963439,-0.28534940814926973,-0.17374572338996747,0.009534846006053931,0.009071013301185404,0.012077489173371626,0.009866136257366133,0.011218939659949013,0.017772846037365515,0.014452027447290513,-0.31045429210896686
-0.1626412852728512,-0.22208703879944972,0.013152554771855793,-0.08911843366185598,-0.3436904093376146,-0.28212515974926666,-0.2727197508235845,-0.16909744031878124,0.006741550606735342,0.005720614531582454,0.007784199877092991,0.005672842327778828,0.006761998243249784,0.012752627973370149,0.010746953108486558,-0.29536678866476823
-0.1510244181032739,-0.21529788307251943,0.019297689023934732,-0.07874868685691634,-0.3406791253495647,-0.2690392197236629,-0.2718734976392448,-0.16656512063905066,0.003973512317169206,0.002659389106694915,0.003766546568179022,0.0016463875726417136,0.0034635075804251665,0.007615479016711963,0.007174706638936934,-0.2840029310002944
-0.14753151899386902,-0.21363532673533667,0.021975933963963305,-0.0745670630456692,-0.3462423661753134,-0.26325044657294844,-0.27920682843939576,-0.1708637908970535,0.007697100698053103,0.006764087152595057,0.007262757820134745,0.004731796951114182,0.008005133050633011,0.00948353625715626,0.01068182604938831,-0.2808088811613645
-0.147699350056487,-0.22096716586630727,0.027220615720817538,-0.07700986647394709,-0.3488404565450963,-0.26735383667686335,-0.2784061961830865,-0.176364534541229,0.01339929348732808,0.01385653716740082,0.014505407063636106,0.011043328317005793,0.015667859561773516,0.014408826664334249,0.01721066326393981,-0.2739295573428952
-0.14534534001062974,-0.23172331097125415,0.03568198225466494,-0.0794443880299123,-0.3443875212217781,-0.27367686013745085,-0.27191230927423393,-0.17700548253170392,0.014324758760429311,0.016864385356444488,0.01856420849062736,0.013884097314699726,0.018940614125441537,0.01582775607965791,0.019918953156218507,-0.26170839124084033
-0.14083632152306635,-0.23239932032522112,0.04233910620574897,-0.07515593071046182,-0.34111764634940483,-0.2688255331789633,-0.27294305055896845,-0.17421855287601035,0.013611166158183552,0.017881892134303336,0.021122574674302376,0.015496287128135245,0.019797534724040243,0.016524344650873414,0.021179327751702195,-0.2554782938871052
-0.1357814797806672,-0.2146590408940561,0.04698175593108171,-0.061915671673909496,-0.33966781101391913,-0.24711896511747097,-0.27541510799164526,-0.1703818465379187,0.018128625666730947,0.022685675032172947,0.02708659924362265,0.021352096511124612,0.024121694263612596,0.022588350667843184,0.02689892148000957,-0.25469879541795737
-0.12767509087666803,-0.1834523973840604,0.055241463214280875,-0.04124135223995229,-0.32980188868463295,-0.2155429332359425,-0.2623195939437156,-0.16317493507774392,0.026147414375717708,0.02931142195826469,0.03366221778096603,0.028827503915935596,0.03005508803178917,0.031444995468635974,0.034847177886315764,-0.24575319540537002
-0.11645838073035213,-0.15108572582477586,0.06772116145027952,-0.018077108856489152,-0.31207127324744577,-0.18589212540803812,-0.23942950108081057,-0.15276060702899738,0.03140594444886544,0.03242117543848806,0.035285034412197186,0.031981440173062196,0.032234129058699226,0.036302234810638545,0.03898415014618676,-0.23020133881865587
-0.1094902176146802,-0.1282063714439097,0.07762515289615715,-0.0010873043515501886,-0.30211989740836254,-0.16708210031211712,-0.2299491476882687,-0.14669126862114895,0.03477437339676582,0.0343239579396682,0.03484744542005436,0.03302927848365032,0.0328763733759594,0.03803009263341605,0.040854730638738665,-0.2284780026397766
-0.11215461100803467,-0.12145990237296948,0.08200829451400093,0.0023655114906988984,-0.3054743552396087,-0.16415183565568217,-0.2361388240571802,-0.1498479480719259,0.04093719130107094,0.04059859359652021,0.03901887026598656,0.038107415471257046,0.03758800362000575,0.041847680024807765,0.045780204297372395,-0.24734210141912155
-0.11864520385794368,-0.13222818624033206,0.08641985291652807,-0.00596483886125475,-0.3071472647968289,-0.1767173039415385,-0.23644803456205118,-0.1555617136951311,0.046849967757074965,0.04795857435204869,0.04550061076078138,0.04481325346042547,0.0433499002816749,0.04557469669510062,0.050972833841089665,-0.26769135051346876
-0.11980824353535385,-0.15230358696992186,0.09465464183691111,-0.015548990517570346,-0.29626980827202143,-0.1951922836349638,-0.22343360841687707,-0.1546641266981823,0.04528448662806018,0.0481016308007423,0.04634418018846652,0.04546881412971754,0.0422944614432185,0.042793148073717584,0.04907692321144565,-0.2749274926197556
